num_threads,wf_hash,hopd,chainmtm
1,7589784.032102414,14596333.333333334,9755666.666666666
2,13179872.764031045,31119333.333333332,17082333.333333332
4,23318795.142449033,58702666.666666664,33483333.333333332
8,45665307.63321928,79874000.0,57787000.0
16,52197560.630601585,67751666.66666667,57245666.666666664
32,102019721.4881529,88897666.66666667,74357000.0
