num_threads,nogrow_large,nogrow_small,grow
2,1.0,0.3068789725245784,0.6129715851575795
4,1.0,0.32841836085511017,0.5720405287099741
8,1.0,0.31444111981266115,0.5143985888424719
16,1.0,0.32859397942528157,0.5019511418319463
32,1.0,0.33229613674899094,0.4387589779301517
