num_threads,wf_hash,hopd,chainmtm
1,7568672.863887138,20147333.333333332,13108666.666666666
2,12757302.901850369,36185666.666666664,22137333.333333332
4,24029111.832166977,58514333.333333336,40436666.666666664
8,46465618.1651526,55044666.666666664,63468666.666666664
16,59415879.241867304,72775333.33333333,65040333.333333336
32,103682290.73061083,98925333.33333333,79486333.33333333
