num_threads,wf_hash,hopd,chainmtm
1,3034625.027106773,13680333.333333334,6747000.0
2,6024468.520092838,16022666.666666666,8159666.666666667
4,11266238.883322088,17966333.333333332,8999000.0
8,19945238.244799558,10399000.0,8901000.0
16,30832066.855001215,12002000.0,9943000.0
32,45248618.84556368,20146333.333333332,12091000.0
